2,0,2588,3749,0,0,0,2,3,4,0,0,0
3,0,639,1465,1963,0,0,5,6,7,8,0,0
3,0,2741,2996,3500,0,0,9,10,11,12,0,0
5,0,3884,4203,4404,5039,5312,13,14,15,16,17,18
5,1,92,231,271,511,522,92,231,271,511,522,6
4,1,639,764,816,965,0,639,764,816,965,0,7
3,1,1465,1509,1826,0,0,1465,1509,1826,0,0,8
4,1,1963,2197,2373,2404,0,1963,2197,2373,2404,0,9
3,1,2588,2624,2736,0,0,2588,2624,2736,0,0,10
3,1,2741,2750,2833,0,0,2741,2750,2833,0,0,11
3,1,2996,3148,3333,0,0,2996,3148,3333,0,0,12
3,1,3500,3620,3690,0,0,3500,3620,3690,0,0,13
3,1,3749,3794,3866,0,0,3749,3794,3866,0,0,14
4,1,3884,3994,4127,4148,0,3884,3994,4127,4148,0,15
5,1,4203,4240,4256,4304,4334,4203,4240,4256,4304,4334,16
3,1,4404,4590,4956,0,0,4404,4590,4956,0,0,17
3,1,5039,5122,5156,0,0,5039,5122,5156,0,0,18
4,1,5312,5338,5352,5399,0,5312,5338,5352,5399,0,0
